id|gloss|text
P3_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P4_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P5_S05_R1|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P1_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P2_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P3_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P4_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P5_S05_R2|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P1_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P2_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P3_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P4_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P5_S05_R3|APA KAMU PERNAH BACA BUKU BAHASA INGGRIS|Apa kamu pernah membaca novel bahasa inggris?
P1_S06_R1|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P2_S06_R1|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P3_S06_R1|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P4_S06_R1|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P5_S06_R1|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P1_S06_R2|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P2_S06_R2|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P3_S06_R2|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P4_S06_R2|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P5_S06_R2|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P1_S06_R3|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P2_S06_R3|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P3_S06_R3|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P4_S06_R3|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P5_S06_R3|AYAH SAMA IBU MANA|Di mana ayah sama Ibu?
P1_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P2_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P3_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P4_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P5_S07_R1|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P1_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P2_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P3_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P4_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P5_S07_R2|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P1_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P2_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P3_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P4_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P5_S07_R3|BADAN AKU GEMUK TAPI BADAN ADIK KURUS|Badan ku gemuk, tapi badan adik kurus
P1_S08_R1|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P2_S08_R1|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P3_S08_R1|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P4_S08_R1|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P5_S08_R1|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P1_S08_R2|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P2_S08_R2|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P3_S08_R2|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P4_S08_R2|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P5_S08_R2|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P1_S08_R3|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P2_S08_R3|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P3_S08_R3|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P4_S08_R3|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P5_S08_R3|BUKU AKU SOBEK GEGARA DIA|Dia menyobek buku saya
P1_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P2_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P3_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P4_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P5_S09_R1|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P1_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P2_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P3_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P4_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P5_S09_R2|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P1_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P2_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P3_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P4_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P5_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA|Dia anak baik sehingga banyak orang menyukainya
P1_S10_R1|DIA MENGEJEK AKU|Dia mengejek saya
P2_S10_R1|DIA MENGEJEK AKU|Dia mengejek saya
P3_S10_R1|DIA MENGEJEK AKU|Dia mengejek saya
P4_S10_R1|DIA MENGEJEK AKU|Dia mengejek saya
P5_S10_R1|DIA MENGEJEK AKU|Dia mengejek saya
P1_S10_R2|DIA MENGEJEK AKU|Dia mengejek saya
P2_S10_R2|DIA MENGEJEK AKU|Dia mengejek saya
P3_S10_R2|DIA MENGEJEK AKU|Dia mengejek saya
P4_S10_R2|DIA MENGEJEK AKU|Dia mengejek saya
P5_S10_R2|DIA MENGEJEK AKU|Dia mengejek saya
P1_S10_R3|DIA MENGEJEK AKU|Dia mengejek saya
P2_S10_R3|DIA MENGEJEK AKU|Dia mengejek saya
P3_S10_R3|DIA MENGEJEK AKU|Dia mengejek saya
P4_S10_R3|DIA MENGEJEK AKU|Dia mengejek saya
P5_S10_R3|DIA MENGEJEK AKU|Dia mengejek saya
P1_S11_R1|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P2_S11_R1|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P3_S11_R1|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P4_S11_R1|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P5_S11_R1|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P1_S11_R2|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P2_S11_R2|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P3_S11_R2|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P4_S11_R2|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P5_S11_R2|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P1_S11_R3|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P2_S11_R3|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P3_S11_R3|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P4_S11_R3|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P5_S11_R3|GAKBOLEH PULANG SEKARANG KAMU|Kamu tidak boleh pulang sekarang.
P1_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P2_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P3_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P4_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P5_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P1_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P2_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P3_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P4_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P5_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P1_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P2_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P3_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P4_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P5_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN|Ibu aku punya kucing sama ikan.
P1_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P2_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P3_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P4_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P5_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P1_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P2_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P3_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P4_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P5_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P1_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P2_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P3_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P4_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P5_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU|Kakak saya memberi saya hadiah.
P1_S14_R1|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P2_S14_R1|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P3_S14_R1|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P4_S14_R1|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P5_S14_R1|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P1_S14_R2|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P2_S14_R2|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P3_S14_R2|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P4_S14_R2|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P5_S14_R2|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P1_S14_R3|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P2_S14_R3|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P3_S14_R3|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P4_S14_R3|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P5_S14_R3|KAMU BELAJAR BISINDO KAPAN|Kapan kamu belajar Bisindo?
P1_S15_R1|KAMU PERGI MANA|Kemana kamu mau pergi?
P2_S15_R1|KAMU PERGI MANA|Kemana kamu mau pergi?
P3_S15_R1|KAMU PERGI MANA|Kemana kamu mau pergi?
P4_S15_R1|KAMU PERGI MANA|Kemana kamu mau pergi?
P5_S15_R1|KAMU PERGI MANA|Kemana kamu mau pergi?
P1_S15_R2|KAMU PERGI MANA|Kemana kamu mau pergi?
P2_S15_R2|KAMU PERGI MANA|Kemana kamu mau pergi?
P3_S15_R2|KAMU PERGI MANA|Kemana kamu mau pergi?
P4_S15_R2|KAMU PERGI MANA|Kemana kamu mau pergi?
P5_S15_R2|KAMU PERGI MANA|Kemana kamu mau pergi?
P1_S15_R3|KAMU PERGI MANA|Kemana kamu mau pergi?
P2_S15_R3|KAMU PERGI MANA|Kemana kamu mau pergi?
P3_S15_R3|KAMU PERGI MANA|Kemana kamu mau pergi?
P4_S15_R3|KAMU PERGI MANA|Kemana kamu mau pergi?
P5_S15_R3|KAMU PERGI MANA|Kemana kamu mau pergi?
P1_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P2_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P3_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P4_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P5_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P1_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P2_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P3_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P4_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P5_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P1_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P2_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P3_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P4_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P5_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA|Berapa jumlah anggota keluarga kamu?
P1_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P2_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P3_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P4_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P5_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P1_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P2_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P3_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P4_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P5_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P1_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P2_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P3_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P4_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P5_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN|Mengapa kemarin kamu tidak kuliah?
P1_S18_R1|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P2_S18_R1|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P3_S18_R1|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P4_S18_R1|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P5_S18_R1|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P1_S18_R2|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P2_S18_R2|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P3_S18_R2|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P4_S18_R2|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P5_S18_R2|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P1_S18_R3|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P2_S18_R3|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P3_S18_R3|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P4_S18_R3|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P5_S18_R3|KITA ISTIRAHAT JAM BERAPA|Jam berapa kita istirahat?
P1_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P2_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P3_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P4_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P5_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P1_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P2_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P3_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P4_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P5_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P1_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P2_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P3_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P4_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P5_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK|Bagaimana keadaan ibumu?
P1_S20_R1|NAMA ISYARAT KAMU APA|Nama isyarat kamu apa?
P2_S20_R1|NAMA ISYARAT KAMU APA|Nama isyarat kamu apa?
P3_S20_R1|NAMA ISYARAT KAMU APA|Nama isyarat kamu apa?
P4_S20_R1|NAMA ISYARAT KAMU APA|Nama isyarat kamu apa?
P5_S20_R1|NAMA ISYARAT KAMU APA|Nama isyarat kamu apa?
