id|gloss
P2_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P3_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P4_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P5_S09_R3|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P1_S09_R4|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P2_S09_R4|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P3_S09_R4|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P4_S09_R4|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P5_S09_R4|DIA ANAK BAIK SAMPAI BANYAK ORANG SUKA
P1_S10_R1|DIA MENGEJEK AKU
P2_S10_R1|DIA MENGEJEK AKU
P3_S10_R1|DIA MENGEJEK AKU
P4_S10_R1|DIA MENGEJEK AKU
P5_S10_R1|DIA MENGEJEK AKU
P1_S10_R2|DIA MENGEJEK AKU
P2_S10_R2|DIA MENGEJEK AKU
P3_S10_R2|DIA MENGEJEK AKU
P4_S10_R2|DIA MENGEJEK AKU
P5_S10_R2|DIA MENGEJEK AKU
P1_S10_R3|DIA MENGEJEK AKU
P2_S10_R3|DIA MENGEJEK AKU
P3_S10_R3|DIA MENGEJEK AKU
P4_S10_R3|DIA MENGEJEK AKU
P5_S10_R3|DIA MENGEJEK AKU
P1_S10_R4|DIA MENGEJEK AKU
P2_S10_R4|DIA MENGEJEK AKU
P3_S10_R4|DIA MENGEJEK AKU
P4_S10_R4|DIA MENGEJEK AKU
P5_S10_R4|DIA MENGEJEK AKU
P1_S11_R1|GAKBOLEH PULANG SEKARANG KAMU
P2_S11_R1|GAKBOLEH PULANG SEKARANG KAMU
P3_S11_R1|GAKBOLEH PULANG SEKARANG KAMU
P4_S11_R1|GAKBOLEH PULANG SEKARANG KAMU
P5_S11_R1|GAKBOLEH PULANG SEKARANG KAMU
P1_S11_R2|GAKBOLEH PULANG SEKARANG KAMU
P2_S11_R2|GAKBOLEH PULANG SEKARANG KAMU
P3_S11_R2|GAKBOLEH PULANG SEKARANG KAMU
P4_S11_R2|GAKBOLEH PULANG SEKARANG KAMU
P5_S11_R2|GAKBOLEH PULANG SEKARANG KAMU
P1_S11_R3|GAKBOLEH PULANG SEKARANG KAMU
P2_S11_R3|GAKBOLEH PULANG SEKARANG KAMU
P3_S11_R3|GAKBOLEH PULANG SEKARANG KAMU
P4_S11_R3|GAKBOLEH PULANG SEKARANG KAMU
P5_S11_R3|GAKBOLEH PULANG SEKARANG KAMU
P1_S11_R4|GAKBOLEH PULANG SEKARANG KAMU
P2_S11_R4|GAKBOLEH PULANG SEKARANG KAMU
P3_S11_R4|GAKBOLEH PULANG SEKARANG KAMU
P4_S11_R4|GAKBOLEH PULANG SEKARANG KAMU
P5_S11_R4|GAKBOLEH PULANG SEKARANG KAMU
P1_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN
P2_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN
P3_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN
P4_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN
P5_S12_R1|IBU AKU PUNYA KUCING SAMA IKAN
P1_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN
P2_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN
P3_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN
P4_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN
P5_S12_R2|IBU AKU PUNYA KUCING SAMA IKAN
P1_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN
P2_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN
P3_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN
P4_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN
P5_S12_R3|IBU AKU PUNYA KUCING SAMA IKAN
P1_S12_R4|IBU AKU PUNYA KUCING SAMA IKAN
P2_S12_R4|IBU AKU PUNYA KUCING SAMA IKAN
P3_S12_R4|IBU AKU PUNYA KUCING SAMA IKAN
P4_S12_R4|IBU AKU PUNYA KUCING SAMA IKAN
P5_S12_R4|IBU AKU PUNYA KUCING SAMA IKAN
P1_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU
P2_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU
P3_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU
P4_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU
P5_S13_R1|KAKAK AKU KASIH HADIAH BUAT AKU
P1_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU
P2_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU
P3_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU
P4_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU
P5_S13_R2|KAKAK AKU KASIH HADIAH BUAT AKU
P1_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU
P2_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU
P3_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU
P4_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU
P5_S13_R3|KAKAK AKU KASIH HADIAH BUAT AKU
P1_S13_R4|KAKAK AKU KASIH HADIAH BUAT AKU
P2_S13_R4|KAKAK AKU KASIH HADIAH BUAT AKU
P3_S13_R4|KAKAK AKU KASIH HADIAH BUAT AKU
P4_S13_R4|KAKAK AKU KASIH HADIAH BUAT AKU
P5_S13_R4|KAKAK AKU KASIH HADIAH BUAT AKU
P1_S14_R1|KAMU BELAJAR BISINDO KAPAN
P2_S14_R1|KAMU BELAJAR BISINDO KAPAN
P3_S14_R1|KAMU BELAJAR BISINDO KAPAN
P4_S14_R1|KAMU BELAJAR BISINDO KAPAN
P5_S14_R1|KAMU BELAJAR BISINDO KAPAN
P1_S14_R2|KAMU BELAJAR BISINDO KAPAN
P2_S14_R2|KAMU BELAJAR BISINDO KAPAN
P3_S14_R2|KAMU BELAJAR BISINDO KAPAN
P4_S14_R2|KAMU BELAJAR BISINDO KAPAN
P5_S14_R2|KAMU BELAJAR BISINDO KAPAN
P1_S14_R3|KAMU BELAJAR BISINDO KAPAN
P2_S14_R3|KAMU BELAJAR BISINDO KAPAN
P3_S14_R3|KAMU BELAJAR BISINDO KAPAN
P4_S14_R3|KAMU BELAJAR BISINDO KAPAN
P5_S14_R3|KAMU BELAJAR BISINDO KAPAN
P1_S14_R4|KAMU BELAJAR BISINDO KAPAN
P2_S14_R4|KAMU BELAJAR BISINDO KAPAN
P3_S14_R4|KAMU BELAJAR BISINDO KAPAN
P4_S14_R4|KAMU BELAJAR BISINDO KAPAN
P5_S14_R4|KAMU BELAJAR BISINDO KAPAN
P1_S15_R1|KAMU PERGI MANA
P2_S15_R1|KAMU PERGI MANA
P3_S15_R1|KAMU PERGI MANA
P4_S15_R1|KAMU PERGI MANA
P5_S15_R1|KAMU PERGI MANA
P1_S15_R2|KAMU PERGI MANA
P2_S15_R2|KAMU PERGI MANA
P3_S15_R2|KAMU PERGI MANA
P4_S15_R2|KAMU PERGI MANA
P5_S15_R2|KAMU PERGI MANA
P1_S15_R3|KAMU PERGI MANA
P2_S15_R3|KAMU PERGI MANA
P3_S15_R3|KAMU PERGI MANA
P4_S15_R3|KAMU PERGI MANA
P5_S15_R3|KAMU PERGI MANA
P1_S15_R4|KAMU PERGI MANA
P2_S15_R4|KAMU PERGI MANA
P3_S15_R4|KAMU PERGI MANA
P4_S15_R4|KAMU PERGI MANA
P5_S15_R4|KAMU PERGI MANA
P1_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P2_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P3_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P4_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P5_S16_R1|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P1_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P2_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P3_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P4_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P5_S16_R2|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P1_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P2_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P3_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P4_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P5_S16_R3|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P1_S16_R4|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P2_S16_R4|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P3_S16_R4|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P4_S16_R4|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P5_S16_R4|KAMU PUNYA ANGGOTA KELUARGA BERAPA
P1_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P2_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P3_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P4_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P5_S17_R1|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P1_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P2_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P3_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P4_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P5_S17_R2|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P1_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P2_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P3_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P4_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P5_S17_R3|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P1_S17_R4|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P2_S17_R4|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P3_S17_R4|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P4_S17_R4|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P5_S17_R4|KENAPA KAMU GAK MASUK KULIAH KEMARIN
P1_S18_R1|KITA ISTIRAHAT JAM BERAPA
P2_S18_R1|KITA ISTIRAHAT JAM BERAPA
P3_S18_R1|KITA ISTIRAHAT JAM BERAPA
P4_S18_R1|KITA ISTIRAHAT JAM BERAPA
P5_S18_R1|KITA ISTIRAHAT JAM BERAPA
P1_S18_R2|KITA ISTIRAHAT JAM BERAPA
P2_S18_R2|KITA ISTIRAHAT JAM BERAPA
P3_S18_R2|KITA ISTIRAHAT JAM BERAPA
P4_S18_R2|KITA ISTIRAHAT JAM BERAPA
P5_S18_R2|KITA ISTIRAHAT JAM BERAPA
P1_S18_R3|KITA ISTIRAHAT JAM BERAPA
P2_S18_R3|KITA ISTIRAHAT JAM BERAPA
P3_S18_R3|KITA ISTIRAHAT JAM BERAPA
P4_S18_R3|KITA ISTIRAHAT JAM BERAPA
P5_S18_R3|KITA ISTIRAHAT JAM BERAPA
P1_S18_R4|KITA ISTIRAHAT JAM BERAPA
P2_S18_R4|KITA ISTIRAHAT JAM BERAPA
P3_S18_R4|KITA ISTIRAHAT JAM BERAPA
P4_S18_R4|KITA ISTIRAHAT JAM BERAPA
P5_S18_R4|KITA ISTIRAHAT JAM BERAPA
P1_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P2_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P3_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P4_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P5_S19_R1|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P1_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P2_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P3_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P4_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P5_S19_R2|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P1_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P2_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P3_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P4_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P5_S19_R3|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P1_S19_R4|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P2_S19_R4|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P3_S19_R4|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P4_S19_R4|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P5_S19_R4|MANA IBU KAMU BAIK-BAIK ATAU TIDAK
P1_S20_R1|NAMA ISYARAT KAMU APA
P2_S20_R1|NAMA ISYARAT KAMU APA
P3_S20_R1|NAMA ISYARAT KAMU APA
P4_S20_R1|NAMA ISYARAT KAMU APA
P5_S20_R1|NAMA ISYARAT KAMU APA
P1_S20_R2|NAMA ISYARAT KAMU APA
P2_S20_R2|NAMA ISYARAT KAMU APA
P3_S20_R2|NAMA ISYARAT KAMU APA
P4_S20_R2|NAMA ISYARAT KAMU APA
P5_S20_R2|NAMA ISYARAT KAMU APA
P1_S20_R3|NAMA ISYARAT KAMU APA
P2_S20_R3|NAMA ISYARAT KAMU APA
P3_S20_R3|NAMA ISYARAT KAMU APA
P4_S20_R3|NAMA ISYARAT KAMU APA
P5_S20_R3|NAMA ISYARAT KAMU APA
P1_S20_R4|NAMA ISYARAT KAMU APA
P2_S20_R4|NAMA ISYARAT KAMU APA
P3_S20_R4|NAMA ISYARAT KAMU APA
P4_S20_R4|NAMA ISYARAT KAMU APA
P5_S20_R4|NAMA ISYARAT KAMU APA
P1_S21_R1|OBAT BISA BELI TOKO MANA
P2_S21_R1|OBAT BISA BELI TOKO MANA
P3_S21_R1|OBAT BISA BELI TOKO MANA
P4_S21_R1|OBAT BISA BELI TOKO MANA
P5_S21_R1|OBAT BISA BELI TOKO MANA
P1_S21_R2|OBAT BISA BELI TOKO MANA
P2_S21_R2|OBAT BISA BELI TOKO MANA
P3_S21_R2|OBAT BISA BELI TOKO MANA
P4_S21_R2|OBAT BISA BELI TOKO MANA
P5_S21_R2|OBAT BISA BELI TOKO MANA
P1_S21_R3|OBAT BISA BELI TOKO MANA
P2_S21_R3|OBAT BISA BELI TOKO MANA
P3_S21_R3|OBAT BISA BELI TOKO MANA
P4_S21_R3|OBAT BISA BELI TOKO MANA
P5_S21_R3|OBAT BISA BELI TOKO MANA
P1_S21_R4|OBAT BISA BELI TOKO MANA
P2_S21_R4|OBAT BISA BELI TOKO MANA
P3_S21_R4|OBAT BISA BELI TOKO MANA
P4_S21_R4|OBAT BISA BELI TOKO MANA
P5_S21_R4|OBAT BISA BELI TOKO MANA
P1_S22_R1|ORANG JAHAT SANA PUKUL AKU BERULANG
P2_S22_R1|ORANG JAHAT SANA PUKUL AKU BERULANG
P3_S22_R1|ORANG JAHAT SANA PUKUL AKU BERULANG
P4_S22_R1|ORANG JAHAT SANA PUKUL AKU BERULANG
P5_S22_R1|ORANG JAHAT SANA PUKUL AKU BERULANG
P1_S22_R2|ORANG JAHAT SANA PUKUL AKU BERULANG
P2_S22_R2|ORANG JAHAT SANA PUKUL AKU BERULANG
P3_S22_R2|ORANG JAHAT SANA PUKUL AKU BERULANG
P4_S22_R2|ORANG JAHAT SANA PUKUL AKU BERULANG
P5_S22_R2|ORANG JAHAT SANA PUKUL AKU BERULANG
P1_S22_R3|ORANG JAHAT SANA PUKUL AKU BERULANG
P2_S22_R3|ORANG JAHAT SANA PUKUL AKU BERULANG
P3_S22_R3|ORANG JAHAT SANA PUKUL AKU BERULANG
P4_S22_R3|ORANG JAHAT SANA PUKUL AKU BERULANG
P5_S22_R3|ORANG JAHAT SANA PUKUL AKU BERULANG
P1_S22_R4|ORANG JAHAT SANA PUKUL AKU BERULANG
P2_S22_R4|ORANG JAHAT SANA PUKUL AKU BERULANG
P3_S22_R4|ORANG JAHAT SANA PUKUL AKU BERULANG
P4_S22_R4|ORANG JAHAT SANA PUKUL AKU BERULANG
P5_S22_R4|ORANG JAHAT SANA PUKUL AKU BERULANG
P1_S23_R1|POLISI SANA PUKUL PENCURI
P2_S23_R1|POLISI SANA PUKUL PENCURI
P3_S23_R1|POLISI SANA PUKUL PENCURI
P4_S23_R1|POLISI SANA PUKUL PENCURI
P5_S23_R1|POLISI SANA PUKUL PENCURI
P1_S23_R2|POLISI SANA PUKUL PENCURI
P2_S23_R2|POLISI SANA PUKUL PENCURI
P3_S23_R2|POLISI SANA PUKUL PENCURI
P4_S23_R2|POLISI SANA PUKUL PENCURI
P5_S23_R2|POLISI SANA PUKUL PENCURI
